"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 13"$"2° Cod 13"$"fol. Cod 13"$"Fol. Cod. 13"$"2º Cod 13"$"2o Cod 13"$"2o Msc 13"$"Fol. Msc. 13"$"fol. msc. 13"$"2 o Cod. 13"$"2 Cod. 13"$"2º Cod. 13"$"2o Cod. 13"$"2 o Cod 13"$"fol Cod 13"$"2° Cod. 13"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 14"$"2° Cod 14"$"fol. Cod 14"$"Fol. Cod. 14"$"2º Cod 14"$"2o Cod 14"$"2o Msc 14"$"Fol. Msc. 14"$"fol. msc. 14"$"2 o Cod. 14"$"2 Cod. 14"$"2º Cod. 14"$"2o Cod. 14"$"2 o Cod 14"$"fol Cod 14"$"2° Cod. 14"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 15"$"2° Cod 15"$"fol. Cod 15"$"Fol. Cod. 15"$"2º Cod 15"$"2o Cod 15"$"2o Msc 15"$"Fol. Msc. 15"$"fol. msc. 15"$"2 o Cod. 15"$"2 Cod. 15"$"2º Cod. 15"$"2o Cod. 15"$"2 o Cod 15"$"fol Cod 15"$"2° Cod. 15"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 16"$"2° Cod 16"$"fol. Cod 16"$"Fol. Cod. 16"$"2º Cod 16"$"2o Cod 16"$"2o Msc 16"$"Fol. Msc. 16"$"fol. msc. 16"$"2 o Cod. 16"$"2 Cod. 16"$"2º Cod. 16"$"2o Cod. 16"$"2 o Cod 16"$"fol Cod 16"$"2° Cod. 16"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 17"$"2° Cod 17"$"fol. Cod 17"$"Fol. Cod. 17"$"2º Cod 17"$"2o Cod 17"$"2o Msc 17"$"Fol. Msc. 17"$"fol. msc. 17"$"2 o Cod. 17"$"2 Cod. 17"$"2º Cod. 17"$"2o Cod. 17"$"2 o Cod 17"$"fol Cod 17"$"2° Cod. 17"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 18"$"2° Cod 18"$"fol. Cod 18"$"Fol. Cod. 18"$"2º Cod 18"$"2o Cod 18"$"2o Msc 18"$"Fol. Msc. 18"$"fol. msc. 18"$"2 o Cod. 18"$"2 Cod. 18"$"2º Cod. 18"$"2o Cod. 18"$"2 o Cod 18"$"fol Cod 18"$"2° Cod. 18"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 19"$"2° Cod 19"$"fol. Cod 19"$"Fol. Cod. 19"$"2º Cod 19"$"2o Cod 19"$"2o Msc 19"$"Fol. Msc. 19"$"fol. msc. 19"$"2 o Cod. 19"$"2 Cod. 19"$"2º Cod. 19"$"2o Cod. 19"$"2 o Cod 19"$"fol Cod 19"$"2° Cod. 19"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 20"$"2° Cod 20"$"fol. Cod 20"$"Fol. Cod. 20"$"2º Cod 20"$"2o Cod 20"$"2o Msc 20"$"Fol. Msc. 20"$"fol. msc. 20"$"2 o Cod. 20"$"2 Cod. 20"$"2º Cod. 20"$"2o Cod. 20"$"2 o Cod 20"$"fol Cod 20"$"2° Cod. 20"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 21"$"2° Cod 21"$"fol. Cod 21"$"Fol. Cod. 21"$"2º Cod 21"$"2o Cod 21"$"2o Msc 21"$"Fol. Msc. 21"$"fol. msc. 21"$"2 o Cod. 21"$"2 Cod. 21"$"2º Cod. 21"$"2o Cod. 21"$"2 o Cod 21"$"fol Cod 21"$"2° Cod. 21"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 22"$"2° Cod 22"$"fol. Cod 22"$"Fol. Cod. 22"$"2º Cod 22"$"2o Cod 22"$"2o Msc 22"$"Fol. Msc. 22"$"fol. msc. 22"$"2 o Cod. 22"$"2 Cod. 22"$"2º Cod. 22"$"2o Cod. 22"$"2 o Cod 22"$"fol Cod 22"$"2° Cod. 22"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 23"$"2° Cod 23"$"fol. Cod 23"$"Fol. Cod. 23"$"2º Cod 23"$"2o Cod 23"$"2o Msc 23"$"Fol. Msc. 23"$"fol. msc. 23"$"2 o Cod. 23"$"2 Cod. 23"$"2º Cod. 23"$"2o Cod. 23"$"2 o Cod 23"$"fol Cod 23"$"2° Cod. 23"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 24"$"2° Cod 24"$"fol. Cod 24"$"Fol. Cod. 24"$"2º Cod 24"$"2o Cod 24"$"2o Msc 24"$"Fol. Msc. 24"$"fol. msc. 24"$"2 o Cod. 24"$"2 Cod. 24"$"2º Cod. 24"$"2o Cod. 24"$"2 o Cod 24"$"fol Cod 24"$"2° Cod. 24"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 25"$"2° Cod 25"$"fol. Cod 25"$"Fol. Cod. 25"$"2º Cod 25"$"2o Cod 25"$"2o Msc 25"$"Fol. Msc. 25"$"fol. msc. 25"$"2 o Cod. 25"$"2 Cod. 25"$"2º Cod. 25"$"2o Cod. 25"$"2 o Cod 25"$"fol Cod 25"$"2° Cod. 25"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 26"$"2° Cod 26"$"fol. Cod 26"$"Fol. Cod. 26"$"2º Cod 26"$"2o Cod 26"$"2o Msc 26"$"Fol. Msc. 26"$"fol. msc. 26"$"2 o Cod. 26"$"2 Cod. 26"$"2º Cod. 26"$"2o Cod. 26"$"2 o Cod 26"$"fol Cod 26"$"2° Cod. 26"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"2 Cod 27"$"2° Cod 27"$"fol. Cod 27"$"Fol. Cod. 27"$"2º Cod 27"$"2o Cod 27"$"2o Msc 27"$"Fol. Msc. 27"$"fol. msc. 27"$"2 o Cod. 27"$"2 Cod. 27"$"2º Cod. 27"$"2o Cod. 27"$"2 o Cod 27"$"fol Cod 27"$"2° Cod. 27"
