"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 192"$"8° Cod 192"$"Oct. Cod. 192"$"8º Cod 192"$"8o Cod 192"$"8o Msc 192"$"Oct. Msc. 192"$"oct. msc. 192"$"8 o Cod. 192"$"8º Cod. 192"$"8o Cod. 192"$"8 o Cod 192"$"oct Cod 192"$"8° Cod. 192"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 193"$"8° Cod 193"$"Oct. Cod. 193"$"8º Cod 193"$"8o Cod 193"$"8o Msc 193"$"Oct. Msc. 193"$"oct. msc. 193"$"8 o Cod. 193"$"8º Cod. 193"$"8o Cod. 193"$"8 o Cod 193"$"oct Cod 193"$"8° Cod. 193"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 194"$"8° Cod 194"$"Oct. Cod. 194"$"8º Cod 194"$"8o Cod 194"$"8o Msc 194"$"Oct. Msc. 194"$"oct. msc. 194"$"8 o Cod. 194"$"8º Cod. 194"$"8o Cod. 194"$"8 o Cod 194"$"oct Cod 194"$"8° Cod. 194"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 196"$"8° Cod 196"$"Oct. Cod. 196"$"8º Cod 196"$"8o Cod 196"$"8o Msc 196"$"Oct. Msc. 196"$"oct. msc. 196"$"8 o Cod. 196"$"8º Cod. 196"$"8o Cod. 196"$"8 o Cod 196"$"oct Cod 196"$"8° Cod. 196"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 201"$"8° Cod 201"$"Oct. Cod. 201"$"8º Cod 201"$"8o Cod 201"$"8o Msc 201"$"Oct. Msc. 201"$"oct. msc. 201"$"8 o Cod. 201"$"8º Cod. 201"$"8o Cod. 201"$"8 o Cod 201"$"oct Cod 201"$"8° Cod. 201"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 204"$"8° Cod 204"$"Oct. Cod. 204"$"8º Cod 204"$"8o Cod 204"$"8o Msc 204"$"Oct. Msc. 204"$"oct. msc. 204"$"8 o Cod. 204"$"8º Cod. 204"$"8o Cod. 204"$"8 o Cod 204"$"oct Cod 204"$"8° Cod. 204"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 205"$"8° Cod 205"$"Oct. Cod. 205"$"8º Cod 205"$"8o Cod 205"$"8o Msc 205"$"Oct. Msc. 205"$"oct. msc. 205"$"8 o Cod. 205"$"8º Cod. 205"$"8o Cod. 205"$"8 o Cod 205"$"oct Cod 205"$"8° Cod. 205"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 209"$"8° Cod 209"$"Oct. Cod. 209"$"8º Cod 209"$"8o Cod 209"$"8o Msc 209"$"Oct. Msc. 209"$"oct. msc. 209"$"8 o Cod. 209"$"8º Cod. 209"$"8o Cod. 209"$"8 o Cod 209"$"oct Cod 209"$"8° Cod. 209"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 210"$"8° Cod 210"$"Oct. Cod. 210"$"8º Cod 210"$"8o Cod 210"$"8o Msc 210"$"Oct. Msc. 210"$"oct. msc. 210"$"8 o Cod. 210"$"8º Cod. 210"$"8o Cod. 210"$"8 o Cod 210"$"oct Cod 210"$"8° Cod. 210"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 213"$"8° Cod 213"$"Oct. Cod. 213"$"8º Cod 213"$"8o Cod 213"$"8o Msc 213"$"Oct. Msc. 213"$"oct. msc. 213"$"8 o Cod. 213"$"8º Cod. 213"$"8o Cod. 213"$"8 o Cod 213"$"oct Cod 213"$"8° Cod. 213"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 214"$"8° Cod 214"$"Oct. Cod. 214"$"8º Cod 214"$"8o Cod 214"$"8o Msc 214"$"Oct. Msc. 214"$"oct. msc. 214"$"8 o Cod. 214"$"8º Cod. 214"$"8o Cod. 214"$"8 o Cod 214"$"oct Cod 214"$"8° Cod. 214"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 74a"$"8° Cod 74a"$"Oct. Cod. 74 a"$"Oct. Cod. 74a"$"Oct. Cod. 74 a"$"8º Cod 74a"$"8o Cod 74a"$"8o Msc 74a"$"Oct. Msc. 74a"$"oct. msc. 74a"$"8 o Cod. 74a"$"8 Cod. 74a"$"8 Cod. 74 a"$"8º Cod. 74a"$"8o Cod. 74a"$"8 o Cod 74 a"$"oct Cod 74a"$"8° Cod 74 a"$"8° Cod. 74a"$"8° Cod. 74 a"
"Augsburg"$"4003614-5"$"Staats- und Stadtbibliothek Augsburg"$"2022500-3"$"8 Cod 74b"$"8° Cod 74b"$"Oct. Cod. 74 b"$"Oct. Cod. 74b"$"Oct. Cod. 74 b"$"8º Cod 74b"$"8o Cod 74b"$"8o Msc 74b"$"Oct. Msc. 74b"$"oct. msc. 74b"$"8 o Cod. 74b"$"8 Cod. 74b"$"8 Cod. 74 b"$"8º Cod. 74b"$"8o Cod. 74b"$"8 o Cod 74 b"$"oct Cod 74b"$"8° Cod 74 b"$"8° Cod. 74b"$"8° Cod. 74 b"
