"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 183, Nr. 923, Bd. 1"$"Fonds 183. Nr. 923, Bd. 1"$"Fond 183, Nr. 923, Bd. 1"$"Фонд 183, № 923.1"$"Фонд 183, ед. хр. 923.1"$"Фонд 183, N 923.1"$"Ф. 183, № 923.1"$"F. 183, № 923, Bd. 1"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 183, Nr. 923, Bd. 2"$"Fonds 183. Nr. 923, Bd. 2"$"Fond 183, Nr. 923, Bd. 2"$"Фонд 183, № 923.2"$"Фонд 183, ед. хр. 923.2"$"Фонд 183, N 923.2"$"Ф. 183, № 923.2"$"F. 183, № 923, Bd. 2"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 183, Nr. 872, Fragment 1"$"Fonds 183. Nr. 872, Fragment 1"$"Fond 183, Nr. 872, Fragment 1"$"Фонд 183, № 872.1"$"Фонд 183, ед. хр. 872.1"$"Фонд 183, N 872.1"$"Ф. 183, № 872.1"$"F. 183, № 872, Fragment 1"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 183, Nr. 872, Fragment 2"$"Fonds 183. Nr. 872, Fragment 2"$"Fond 183, Nr. 872, Fragment 2"$"Фонд 183, № 872.2"$"Фонд 183, ед. хр. 872.2"$"Фонд 183, N 872.2"$"Ф. 183, № 872.2"$"F. 183, № 872, Fragment 2"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 183, Nr. 872, Fragment 3"$"Fonds 183. Nr. 872, Fragment 3"$"Fond 183, Nr. 872, Fragment 3"$"Фонд 183, № 872.3"$"Фонд 183, ед. хр. 872.3"$"Фонд 183, N 872.3"$"Ф. 183, № 872.3"$"F. 183, № 872, Fragment 3"
