"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 439"$"In 1227"$"Fond 68, Nr. 439"$"Fonds 68. Nr. 439"$"Фонд 68, № 439"$"Фонд 68, ед. хр. 439"$"Фонд 68, N 439"$"Ин 1227"$"Ин. 1227"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 440"$"In 1228"$"Fond 68, Nr. 440"$"Fonds 68. Nr. 440"$"Фонд 68, № 440"$"Фонд 68, ед. хр. 440"$"Фонд 68, N 440"$"Ин 1228"$"Ин. 1228"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 441"$"In 1226"$"M.K. 11 пр 5"$"Fond 68, Nr. 441"$"Fonds 68. Nr. 441"$"Фонд 68, № 441"$"Фонд 68, ед. хр. 441"$"Фонд 68, N 441"$"Ин 1226"$"Ин. 1226"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 444"$"In 1311"$"Fond 68, Nr. 444"$"Fonds 68. Nr. 444"$"Фонд 68, № 444"$"Фонд 68, ед. хр. 444"$"Фонд 68, N 444"$"Ин 1311"$"Ин. 1311"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 445"$"In 1234"$"Fond 68, Nr. 445"$"Fonds 68. Nr. 445"$"Фонд 68, № 445"$"Фонд 68, ед. хр. 445"$"Фонд 68, N 445"$"Ин 1234"$"Ин. 1234"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 446"$"In 1310"$"Fond 68, Nr. 446"$"Fonds 68. Nr. 446"$"Фонд 68, № 446"$"Фонд 68, ед. хр. 446"$"Фонд 68, N 446"$"Ин 1310"$"Ин. 1310"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 447"$"In 1233"$"Fond 68, Nr. 447"$"Fonds 68. Nr. 447"$"Фонд 68, № 447"$"Фонд 68, ед. хр. 447"$"Фонд 68, N 447"$"Ин 1233"$"Ин. 1233"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 448"$"In 1321"$"Fond 68, Nr. 448"$"Fonds 68. Nr. 448"$"Фонд 68, № 448"$"Фонд 68, ед. хр. 448"$"Фонд 68, N 448"$"Ин 1321"$"Ин. 1321"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 449"$"In 1219"$"Fond 68, Nr. 449"$"Fonds 68. Nr. 449"$"Фонд 68, № 449"$"Фонд 68, ед. хр. 449"$"Фонд 68, N 449"$"Ин 1219"$"Ин. 1219"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 450"$"In 1236"$"Fond 68, Nr. 450"$"Fonds 68. Nr. 450"$"Фонд 68, № 450"$"Фонд 68, ед. хр. 450"$"Фонд 68, N 450"$"Ин 1236"$"Ин. 1236"	
