"1804";"*bitten, ich bitte - O werdige maget ende martelersse sunte Dymphna vituercoren patronersse ... ic bid dij"
"1804";"*grüßen, gegrüßet seist du - Weest ghegruet o fonteyne der genaden"
"1804";"*machen, ich mache - O Maria hoe mach ic dinen lof"
"1804";"*opfern, ich opfere - O lieve heer, mijn penetencie die ic uv ghelesen hebbe, die offer ic"
"1804";"*sollen, du sollst - Here du sellte mijn lippen opdoen ende minen mont"
"1804";"*verkiesen - Sent Johannes ewangeliste aller lieffester apostel ... ich verkiesen dich"
"1804";"*verschmähen, du verschmähst - O aller heiligeste vnd seligste juncfrauwe sent Agnes ... du versmades"
"1804";"*wollen, wollt - O salige Barbara een eere ende glorie der volcoemenre schoenheit ... wilt voer ons bidden"
"5666v";"... vnd dieselbige Sünde // wirt Ihnen gewißlich den Halß // brechen. //"
"5666v";".... est au Prince de bon air."
"5666v";"1321: Tempus mediae coniunctionis: 28, 18, 2, 6"
"5666v";"1: 0, 10; 0, 20; 0, 30"
"5666v";"<S>onte Francyscus, een knecht vnde een vrynt (182rb) des alre ouerste gades, was een insetter vnde een vorgander van der mynre bruder orden …"
"5666v";">A<L nome didio et della sua gloriosissima virgine et madre Madonna sancta Maria et del"
"5666v";">D<Ilecte in Christo sorelle"
"5666v";">I<NChristo dilecte suore, di lui spose, amiche et sorelle"
"5666v";">N<Vlla marauiglia e, se noi potemo comprendere quella eternale sapientia didio"
"5666v";">O< Heylige ma-/get sinte bar-/bara die dat riicke / der werelt"
"5666v";">O< Heylighe gloriose martelers-/se cristi si[n]te margriete comt / mi onsalige so[n]dare te hulpe"
"5666v";">O< edel maget / cristi Appolo[n]ia / maget willicli-/ken"
"5666v";">P<Er certo mail non si intende la scrictura da chi non a quel sentimento ch’ebbe lo scrictore, pero chella"
"5666v";">Q<Uesta e l’usança delle menti peruerse, che quando elle anno presa alcuna oppinione"
"5666v";">Q<Vando mi parti da Uinegia, proposi nell’animo"
"5666v";">U<olendo noi considerare lo exemplo di questa operatione di Iob, prima douemo raguardare quanto ragioneuole ordine di narratione egli tiene nel suo dire"
"5666v";"A Raymond, seigneur du Chastel Ambroise, gracieux chevalier, Bernard, devenu en viellesse, salut. Tu demandes estre enseigné par nous de la maniere de plus profitablement regir et gouverner l'estat de tout homme de bien en fait de mesnage et autrement"
"5666v";"A Son Altesse Electorale. Le goul avec le quel votre Altesse Electorale s'est appliquée aux leçons de fortification que j'ay eû l'honneur de lui donner."
"5666v";"A Stygia nuper sede exiit (attamen ausum ..."
"5666v";"A bien examiner tout ce qui se prattique présentemment ......"
"5666v";"A ceuls de ceste region Qui point n'y ont de mansion Ains y sont tous con dit saint Pol"
"5666v";"A compile. //"
"5666v";"A honnorable pere et son chier seigneur Guillaume par la grace de Dieu arcevesque de Senz, Pierres sers Jhesucrist, prestres doyens de Tret Treves bonne vie"
"5666v";"A l'enfournar si pren lou pan cournut"
"5666v";"A l'onneur de Dieu omnipotent et gloire du benois sainct François"
"5666v";"A l'onneur, gloire et reverence de nostre benoist createur et redempeur en trinité, unité et divinité, de la glorieuse vierge Marie sa mere et de toute la court celestiele de paradis, a la supportation de messieurs les nobles et correction des lisans, me suis par mon hebetude, indiscretion et simplesse ingeré composer ce petit traictié nommé Doctrinal de noblesse"
"5666v";"A la dolour del cief prens manive"
"5666v";"A la premiere creation et institucion de l'ordre de la Thoison d'or en la ville de Bruges ... desquels les noms, sournoms et blasons cy aprés s'ensuivent"
"5666v";"A la raison qui nous eclaire"
"5666v";"A la sainte couronne de France en laquelle au jour d’uy par l’ordonnance de Dieu regne Charles le vie en icellui nom tres bien amé"
"5666v";"A matines doit on penser que par nuit daingna Nostres Sires naistre de la beneoite Virgene"
"5666v";"A mes enfans. Comme vous étes mes cheres Enfans."
"5666v";"A midi. //"
"5666v";"A mon commencement soit la grace du pere, du fils et du saint Esperit"
"5666v";"A morto lume che per se non splende"
"1804";"A mour ma fet du ciel de sondre pour racheter natur humanue"
"5666v";"A noble homme Bertrand Aubert de Tarascon frere Jehan Ferron de l'ordre des freres prescheurs de Paris, son petit et humble chappellain soy tout. La saintte escripture"
"5666v";"A none. //"
"5666v";"A reverend seigneur et prince et pere de tous orateurs, Eneas"
"5666v";"A sa chiere et amee fille Ysabel, royne de Nauvarre, salut et amistié de pere. Chiere fille, pour ce que je cuide que vous retendrés plus voulentiers"
"5666v";"A ta royal majeste tres noble prince par la grace de dieu roi de France"
"5666v";"A ta royal majesté tres noble prince par la grace de Dieu roy de France, Phelipe le Quart, je, Jehan de Meun"
"5666v";"A tierce. //"
"5666v";"A tous chaus qui ches present lettres"
"1804";"A toy royne de hault parage"
"5666v";"A tres haust et souverain prince, Charles le septeisme de ce nom, sur la divine pourveance Roy de France"
"5666v";"A treshault et puissant seigneur Jehan, filz et oncle des rois de France, ducq de Berry et d'Auvergne, conte de Poitou, d'Estampez et d'Auvergne et lieutenant du roy es paijs de Languedoc et duchié de Guienne. Combien, mon tresredoubté seigneur, que je soye tousjours tresvollentif de vous a mon petit pouoir obeïr et servir"
"5666v";"A trouare in che di entra il mese per tucto il tenpo"
"5666v";"A vento dicitur anima seele"
"5666v";"A vespres //"
"1804";"A vinega sifanno pagamenti alibi"
"1804";"A woman solitaire and recluse couetynge to kwowe the noumbyr of the wounds of oure lorde"
"5666v";"AD terre sancte commendacionem eat scripture sacre vox."
"5666v";"APud maiores nostros sepe de nobilitate dubitatum est."
"5666v";"ATtendens venerabilis amice Bern. etc. Attende quod in omnj opere medicus debet presupponere certam intencionem."
"5666v";"Aam grece id est sum inde"
"5666v";"Ab infirmitate surgentibus cibaria sibi nociua petentibus."
"1804";"Aba'. aba'. iba'. ibtida'"
"5666v";"Abbas - apt; abbatissa - abtissyn; absolucio - enbindunge von sunden"
"5666v";"Abesse, distare."
"1804";"Aborresce mal bevir y con denuesto"
"5666v";"Abraam disse al popolo in acto di comandamento che servassono"
"5666v";"Abracalaba"
"1804";"Abrotanum dat ys aefruyt gekoket myt eynre vygen"
"5666v";"Absolutis dudum collationum spiritualium libellis."
"1804";"Accabl-e de l'inqui-etude"
"5666v";"Ach moyo luba lupka / biß weßola thy sy / my luba"
"5666v";"Ach mynne wie creftig ist dine craft."
"1804";"Ach sanffter susser anfangk wie hait dyne grymmer abgangk"
