"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 34 Bd. 4"$"Hs. 34 Bd 4"$"Da 42. 4"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 35"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 36"$"olim: Ha 581"$"Ha 581"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 17"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 516"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 518"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 530"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 534"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 537"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 539"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 550"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 551"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 556"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 557"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 562"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 574"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 577"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 578"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 583"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 584"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 585"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 588"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 589"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 590"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 592"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 595"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 596"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 597"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 598"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 599"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 600"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 601"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 604"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 605"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 606"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 608"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 618"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 619"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 621"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Ha 641"
