"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"brem.a.1154-XVI"$"brem.a.1154"$"Brem. a. 1154"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0031"$"msa 31"$"ms.a 0031"$"Ms. a 0031"$"ms. a. 31"$"ms. a 31"$"Ms.a.31"$"Ms. a. 31"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0033"$"msa 33"$"ms.a 0033"$"Ms. a 0033"$"ms. a. 33"$"ms. a 33"$"Ms.a.33"$"Ms. a. 33"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0033-02"$"Ms.a.33 b"$"Ms.a.33b"$"Ms. a. 33b"$"Ms. a 33b"$"ms. a. 33b"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0034"$"msa 34"$"ms.a 0034"$"Ms. a 0034"$"ms. a. 34"$"ms. a 34"$"Ms.a.34"$ "Ms. a. 34"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0035"$"msa 35"$"ms.a 0035"$"Ms. a 0035"$"ms. a. 35"$"ms. a 35"$"Ms.a.35"$"Ms. a. 35"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0036"$"msa 36"$"ms.a 0036"$"Ms. a 0036"$"ms. a. 36"$"ms. a 36"$"Ms.a.36"$"Ms. a. 36"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0037"$"msa 37"$"ms.a 0037"$"Ms. a 0037"$"ms. a. 37"$"ms. a 37"$"Ms.a.37"$"Ms. a. 37"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0038"$"msa 38"$"ms.a 0038"$"Ms. a 0038"$"ms. a. 38"$"ms. a 38"$"Ms.a.38"$"Ms. a. 38"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0039"$"msa 39"$"ms.a 0039"$"Ms. a 0039"$"ms. a. 39"$"ms. a 39"$"Ms.a.39"$"Ms. a. 39"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0040"$"msa 40"$"ms.a 0040"$"Ms. a 0040"$"ms. a. 40"$"ms. a 40"$"Ms.a.40"$"Ms. a. 40"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0043"$"msa 43"$"ms.a 0043"$"Ms. a 0043"$"ms. a. 43"$"ms. a 43"$"Ms.a.43"$"Ms. a. 43"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0044"$"msa 44"$"ms.a 0044"$"Ms. a 0044"$"ms. a. 44"$"ms. a 44"$"Ms.a.44"$"Ms. a. 44"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0045"$"msa 45"$"ms.a 0045"$"Ms. a 0045"$"ms. a. 45"$"ms. a 45"$"Ms.a.45"$"Ms. a. 45"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0047-02"$"Ms.a.47 a"$"Ms.a.47a"$"Ms. a. 47a"$"Ms. a 47a"$"ms. a. 47a"$"Cod. a 47a"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0049"$"msa 49"$"ms.a 0049"$"Ms. a 0049"$"ms. a. 49"$"ms. a 49"$"Ms.a.49"$"Ms. a. 49"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0050-01"$"Ms.a.50"$"Ms. a. 50"$"Ms. a 50"$"ms. a. 50"$"Cod. a 50"$"msa 0050"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0050-02"$"Ms.a.50 a"$"Ms.a.50a"$"Ms. a. 50a"$"Ms. a 50a"$"ms. a. 50a"$"Cod. a 50a"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0051-01"$"Ms.a.51 a"$"Ms.a.51a"$"Ms. a. 51a"$"Ms. a 51a"$"ms. a. 51a"$"Cod. a 51a"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0051-02"$"Ms.a.51 c"$"Ms.a.51c"$"Ms. a. 51c"$"Ms. a 51c"$"ms. a. 51c"$"Cod. a 51c"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0051-03"$"Ms.a.51 cc"$"Ms.a.51cc"$"Ms. a. 51cc"$"Ms. a 51cc"$"ms. a. 51cc"$"Cod. a 51cc"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0051-04"$"Ms.a.51 d"$"Ms.a.51d"$"Ms. a. 51d"$"Ms. a 51d"$"ms. a. 51d"$"Cod. a 51d"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0052"$"msa 52"$"ms.a 0052"$"Ms. a 0052"$"ms. a. 52"$"ms. a 52"$"Ms.a.52"$"Ms. a. 52"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0053"$"msa 53"$"ms.a 0053"$"Ms. a 0053"$"ms. a. 53"$"ms. a 53"$"Ms.a.53"$"Ms. a. 53"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0055"$"msa 55"$"ms.a 0055"$"Ms. a 0055"$"ms. a. 55"$"ms. a 55"$"Ms.a.55"$"Ms. a. 55"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0058"$"msa 58"$"ms.a 0058"$"Ms. a 0058"$"ms. a. 58"$"ms. a 58"$"Ms.a.58"$"Ms. a. 58"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0060"$"msa 60"$"ms.a 0060"$"Ms. a 0060"$"ms. a. 60"$"ms. a 60"$"Ms.a.60"$"Ms. a. 60"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0061"$"msa 61"$"ms.a 0061"$"Ms. a 0061"$"ms. a. 61"$"ms. a 61"$"Ms.a.61"$"Ms. a. 61"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0070"$"msa 70"$"ms.a 0070"$"Ms. a 0070"$"ms. a. 70"$"ms. a 70"$"Ms.a.70"$"Ms. a. 70"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0075"$"msa 75"$"ms.a 0075"$"Ms. a 0075"$"ms. a. 75"$"ms. a 75"$"Ms.a.75"$"Ms. a. 75"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0076"$"msa 76"$"ms.a 0076"$"Ms. a 0076"$"ms. a. 76"$"ms. a 76"$"Ms.a.76"$"Ms. a. 76"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0077"$"msa 77"$"ms.a 0077"$"Ms. a 0077"$"ms. a. 77"$"ms. a 77"$"Ms.a.77"$"Ms. a. 77"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0078"$"msa 78"$"ms.a 0078"$"Ms. a 0078"$"ms. a. 78"$"ms. a 78"$"Ms.a.78"$"Ms. a. 78"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0079"$"msa 79"$"ms.a 0079"$"Ms. a 0079"$"ms. a. 79"$"ms. a 79"$"Ms.a.79"$"Ms. a. 79"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0080"$"msa 80"$"ms.a 0080"$"Ms. a 0080"$"ms. a. 80"$"ms. a 80"$"Ms.a.80"$"Ms. a. 80"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0081"$"msa 81"$"ms.a 0081"$"Ms. a 0081"$"ms. a. 81"$"ms. a 81"$"Ms.a.81"$"Ms. a. 81"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0083"$"msa 83"$"ms.a 0083"$"Ms. a 0083"$"ms. a. 83"$"ms. a 83"$"Ms.a.83"$"Ms. a. 83"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0084"$"msa 84"$"ms.a 0084"$"Ms. a 0084"$"ms. a. 84"$"ms. a 84"$"Ms.a.84"$"Ms. a. 84"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0085"$"msa 85"$"ms.a 0085"$"Ms. a 0085"$"ms. a. 85"$"ms. a 85"$"Ms.a.85"$"Ms. a. 85"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0086"$"msa 86"$"ms.a 0086"$"Ms. a 0086"$"ms. a. 86"$"ms. a 86"$"Ms.a.86"$"Ms. a. 86"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0087"$"msa 87"$"ms.a 0087"$"Ms. a 0087"$"ms. a. 87"$"ms. a 87"$"Ms.a.87"$"Ms. a. 87"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0088"$"msa 88"$"ms.a 0088"$"Ms. a 0088"$"ms. a. 88"$"ms. a 88"$"Ms.a.88"$"Ms. a. 88"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0089"$"msa 89"$"ms.a 0089"$"Ms. a 0089"$"ms. a. 89"$"ms. a 89"$"Ms.a.89"$"Ms. a. 89"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0090"$"msa 90"$"ms.a 0090"$"Ms. a 0090"$"ms. a. 90"$"ms. a 90"$"Ms.a.90"$"Ms. a. 90"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0091"$"msa 91"$"ms.a 0091"$"Ms. a 0091"$"ms. a. 91"$"ms. a 91"$"Ms.a.91"$"Ms. a. 91"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0092"$"msa 92"$"ms.a 0092"$"Ms. a 0092"$"ms. a. 92"$"ms. a 92"$"Ms.a.92"$"Ms. a. 92"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0093"$"msa 93"$"ms.a 0093"$"Ms. a 0093"$"ms. a. 93"$"ms. a 93"$"Ms.a.93"$"Ms. a. 93"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0094"$"msa 94"$"ms.a 0094"$"Ms. a 0094"$"ms. a. 94"$"ms. a 94"$"Ms.a.94"$"Ms. a. 94"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0095"$"msa 95"$"ms.a 0095"$"Ms. a 0095"$"ms. a. 95"$"ms. a 95"$"Ms.a.95"$"Ms. a. 95"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0095-S"$"Ms.a.95"$"Ms. a. 95"$"msa 95"$"ms.a 0095"$"Ms. a 0095"$"ms. a. 95"$"ms. a 95"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0095-Z"$"Ms.a.95a"$"Ms.a.95b"$"Ms.a.95c"$"Ms.a.95 a"$"Ms.a.95 b"$"Ms.a.95 c"$"Ms.a. 95a"$"Ms.a. 95b"$"Ms.a. 95c"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0097"$"msa 97"$"ms.a 0097"$"Ms. a 0097"$"ms. a. 97"$"ms. a 97"$"Ms.a.97"$"Ms. a. 97"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0098"$"msa 98"$"ms.a 0098"$"Ms. a 0098"$"ms. a. 98"$"ms. a 98"$"Ms.a.98"$"Ms. a. 98"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0099"$"msa 99"$"ms.a 0099"$"Ms. a 0099"$"ms. a. 99"$"ms. a 99"$"Ms.a.99"$"Ms. a. 99"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0100"$"msa 100"$"ms.a 0100"$"Ms. a 0100"$"ms. a. 100"$"ms. a 100"$"Ms.a.100"$"Ms. a. 100"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0101"$"msa 101"$"ms.a 0101"$"Ms. a 0101"$"ms. a. 101"$"ms. a 101"$"Ms.a.101"$"Ms. a. 101"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0102"$"msa 102"$"ms.a 0102"$"Ms. a 0102"$"ms. a. 102"$"ms. a 102"$"Ms.a.102"$"Ms. a. 102"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0103"$"msa 103"$"ms.a 0103"$"Ms. a 0103"$"ms. a. 103"$"ms. a 103"$"Ms.a.103"$"Ms. a. 103"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0104"$"msa 104"$"ms.a 0104"$"Ms. a 0104"$"ms. a. 104"$"ms. a 104"$"Ms.a.104"$"Ms. a. 104"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0105"$"msa 105"$"ms.a 0105"$"Ms. a 0105"$"ms. a. 105"$"ms. a 105"$"Ms.a.105"$"Ms. a. 105"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0107"$"msa 107"$"ms.a 0107"$"Ms. a 0107"$"ms. a. 107"$"ms. a 107"$"Ms.a.107"$"Ms. a. 107"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0108"$"msa 108"$"ms.a 0108"$"Ms. a 0108"$"ms. a. 108"$"ms. a 108"$"Ms.a.108"$"Ms. a. 108"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0109"$"msa 109"$"ms.a 0109"$"Ms. a 0109"$"ms. a. 109"$"ms. a 109"$"Ms.a.109"$"Ms. a. 109"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0110"$"msa 110"$"ms.a 0110"$"Ms. a 0110"$"ms. a. 110"$"ms. a 110"$"Ms.a.110"$"Ms. a. 110"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0111"$"msa 111"$"ms.a 0111"$"Ms. a 0111"$"ms. a. 111"$"ms. a 111"$"Ms.a.111"$"Ms. a. 111"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0112"$"msa 112"$"ms.a 0112"$"Ms. a 0112"$"ms. a. 112"$"ms. a 112"$"Ms.a.112"$"Ms. a. 112"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0113"$"msa 113"$"ms.a 0113"$"Ms. a 0113"$"ms. a. 113"$"ms. a 113"$"Ms.a.113"$"Ms. a. 113"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0114"$"msa 114"$"ms.a 0114"$"Ms. a 0114"$"ms. a. 114"$"ms. a 114"$"Ms.a.114"$"Ms. a. 114"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0115"$"msa 115"$"ms.a 0115"$"Ms. a 0115"$"ms. a. 115"$"ms. a 115"$"Ms.a.115"$"Ms. a. 115"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0116"$"msa 116"$"ms.a 0116"$"Ms. a 0116"$"ms. a. 116"$"ms. a 116"$"Ms.a.116"$"Ms. a. 116"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0117"$"msa 117"$"ms.a 0117"$"Ms. a 0117"$"ms. a. 117"$"ms. a 117"$"Ms.a.117"$"Ms. a. 117"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0118"$"msa 118"$"ms.a 0118"$"Ms. a 0118"$"ms. a. 118"$"ms. a 118"$"Ms.a.118"$"Ms. a. 118"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0119"$"msa 119"$"ms.a 0119"$"Ms. a 0119"$"ms. a. 119"$"ms. a 119"$"Ms.a.119"$"Ms. a. 119"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0120"$"msa 120"$"ms.a 0120"$"Ms. a 0120"$"ms. a. 120"$"ms. a 120"$"Ms.a.120"$"Ms. a. 120"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0121"$"msa 121"$"ms.a 0121"$"Ms. a 0121"$"ms. a. 121"$"ms. a 121"$"Ms.a.121"$"Ms. a. 121"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0122"$"msa 122"$"ms.a 0122"$"Ms. a 0122"$"ms. a. 122"$"ms. a 122"$"Ms.a.122"$"Ms. a. 122"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0123"$"msa 123"$"ms.a 0123"$"Ms. a 0123"$"ms. a. 123"$"ms. a 123"$"Ms.a.123"$"Ms. a. 123"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0124"$"msa 124"$"ms.a 0124"$"Ms. a 0124"$"ms. a. 124"$"ms. a 124"$"Ms.a.124"$"Ms. a. 124"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0125"$"msa 125"$"ms.a 0125"$"Ms. a 0125"$"ms. a. 125"$"ms. a 125"$"Ms.a.125"$"Ms. a. 125"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0126"$"msa 126"$"ms.a 0126"$"Ms. a 0126"$"ms. a. 126"$"ms. a 126"$"Ms.a.126"$"Ms. a. 126"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0127"$"msa 127"$"ms.a 0127"$"Ms. a 0127"$"ms. a. 127"$"ms. a 127"$"Ms.a.127"$"Ms. a. 127"
