"11"$"Cod 75"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5827515/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-316792"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5827519"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2021"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"12"$"Cod 76"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/4684216/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-238154"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/4684226"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2017"$"2017"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"12"$"Cod 77"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/4711546/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-238736"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/4711553"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2017"$"2017"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"14"$"Cod 82"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5819455/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-316592"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5819467"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2021"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"15"$"Cod 83"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5824571/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-316707"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5824581"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2021"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"16"$"Cod 85"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5547403/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-309351"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5547421"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"17"$"Cod 86"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5547770/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-309367"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5547779"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"18"$"Cod 87"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5466423/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-306950"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5466438"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"19"$"Cod 91"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/5466743/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-306963"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/5466755"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
"20"$"Cod 92"$"https://sammlungen.ulb.uni-muenster.de/i3f/v20/4248925/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:6:1-214121"$"http://sammlungen.ulb.uni-muenster.de/download/webcache/1000/4250586"$"komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2016"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"$"Universitäts- und Landesbibliothek Münster"$"http://d-nb.info/gnd/1086109627"$"Münster (Westf)"$"http://d-nb.info/gnd/4040608-8"
