"11"$"Cod. Guelf. 1.11 Aug. 2°"$""$"https://diglib.hab.de/mss/1-11-aug-2f/start.htm"$"https://diglib.hab.de/mss/1-11-aug-2f/thumbs/00009.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"02.12.2014"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"12"$"Cod. Guelf. 1.11.2 Aug. 2°"$""$"https://diglib.hab.de/mss/1-11-2-aug-2f/start.htm"$"https://diglib.hab.de/mss/1-11-2-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"20.09.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"13"$"Cod. Guelf. 1.12 Aug. 2°"$""$"https://diglib.hab.de/mss/1-12-aug-2f/start.htm"$"https://diglib.hab.de/mss/1-12-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"24.10.2019"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"14"$"Cod. Guelf. 2.4 Aug. 2°"$""$"https://diglib.hab.de/mss/2-4-aug-2f/start.htm"$"https://diglib.hab.de/mss/2-4-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"07.12.2018"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"15"$"Cod. Guelf. 3.1 Aug. 2°"$""$"https://diglib.hab.de/mss/3-1-aug-2f/start.htm"$"https://diglib.hab.de/mss/3-1-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.04.2011"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"16"$"Cod. Guelf. 3.1.83 Aug. 2°"$""$"https://diglib.hab.de/mss/3-1-83-aug-2f/start.htm"$"https://diglib.hab.de/mss/3-1-83-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"17"$"Cod. Guelf. 4.2 Aug. 2°"$""$"https://diglib.hab.de/mss/4-2-aug-2f/start.htm"$"https://diglib.hab.de/mss/4-2-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"18"$"Cod. Guelf. 4.3 Aug. 2°"$""$"https://diglib.hab.de/mss/4-3-aug-2f/start.htm"$"https://diglib.hab.de/mss/4-3-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"21.12.2018"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"19"$"Cod. Guelf. 5 Aug. 2°"$""$"https://diglib.hab.de/mss/5-aug-2f/start.htm"$"https://diglib.hab.de/mss/5-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"20"$"Cod. Guelf. 6.6 Aug. 2°"$""$"https://diglib.hab.de/mss/6-6-aug-2f/start.htm"$"https://diglib.hab.de/mss/6-6-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"10.07.2019"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
