"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,116-3"$"msa 0179"$"msa 179"$"ms.a 0179"$"Ms. a 0179"$"ms. a. 179"$"ms. a 179"$"Ms.a.179"$"Ms. a. 179"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,116-4 u. 5"$"StAB 7,116-4"$"StAB 7,116-5"$"msa 0180"$"msa 180"$"ms.a 0180"$"Ms. a 0180"$"ms. a. 180"$"ms. a 180"$"Ms.a.180"$"Ms. a. 180"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,5120."$"msa 0217"$"msa 217"$"ms.a 0217"$"Ms. a 0217"$"ms. a. 217"$"ms. a 217"$"Ms.a.217"$"Ms. a. 217"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 2-P.2.n.6.b.B.6.I.1."$"msa 0225"$"msa 225"$"ms.a 0225"$"Ms. a 0225"$"ms. a. 225"$"ms. a 225"$"Ms.a.225"$"Ms. a. 225"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 4,48"$"msa 0240"$"msa 240"$"ms.a 0240"$"Ms. a 0240"$"ms. a. 240"$"ms. a 240"$"Ms.a.240"$"Ms. a. 240"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-1"$"msb 0130"$"msb 130"$"ms.b 0130"$"Ms. b 0130"$"ms. b. 130"$"ms. b 130"$"Ms.b.130"$"Ms. b. 130"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-2"$"msb 0131"$"msb 131"$"ms.b 0131"$"Ms. b 0131"$"ms. b. 131"$"ms. b 131"$"Ms.b.131"$"Ms. b. 131"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-3"$"msb 0132"$"msb 132"$"ms.b 0132"$"Ms. b 0132"$"ms. b. 132"$"ms. b 132"$"Ms.b.132"$"Ms. b. 132"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-4"$"msb 0133"$"msb 133"$"ms.b 0133"$"Ms. b 0133"$"ms. b. 133"$"ms. b 133"$"Ms.b.133"$"Ms. b. 133"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-5"$"msb 0134"$"msb 134"$"ms.b 0134"$"Ms. b 0134"$"ms. b. 134"$"ms. b 134"$"Ms.b.134"$"Ms. b. 134"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,42-6"$"msb 0135"$"msb 135"$"ms.b 0135"$"Ms. b 0135"$"ms. b. 135"$"ms. b 135"$"Ms.b.135"$"Ms. b. 135"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,61-XVI"$"msb 0144"$"msb 144"$"ms.b 0144"$"Ms. b 0144"$"ms. b. 144"$"ms. b 144"$"Ms.b.144"$"Ms. b. 144"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,3-48, Bd. a"$"msc 0122-01"$"msc 0122a"$"Ms.c.122 a"$"Ms.c.122a"$"Ms. c. 122a"$"Ms. c 122a"$"ms. c. 122a"$"Ms.c.122"$"msc 0122"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,3-48, Bd. b"$"msc 0122-02"$"msc 0122b"$"Ms.c.122 b"$"Ms.c.122b"$"Ms. c. 122b"$"Ms. c 122b"$"ms. c. 122b"$"Ms.c.122"$"msc 0122"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,3-48, Bd. c"$"msc 0122-03"$"msc 0122c"$"Ms.c.122 c"$"Ms.c.122c"$"Ms. c. 122c"$"Ms. c 122c"$"ms. c. 122c"$"Ms.c.122"$"msc 0122"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"StAB 7,3-48, Bd. d"$"msc 0122-04"$"msc 0122d"$"Ms.c.122 d"$"Ms.c.122d"$"Ms. c. 122d"$"Ms. c 122d"$"ms. c. 122d"$"Ms.c.122"$"msc 0122"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"msc 0130"$"msc 130"$"ms.c 0130"$"Ms. c 0130"$"ms. c. 130"$"ms. c 130"$"Ms.c.130"$"Ms. c. 130"
"Bremen"$"4008135-7"$"Staatsarchiv der Freien Hansestadt Bremen"$"2022524-6"$"msc 0131"$"msc 131"$"ms.c 0131"$"Ms. c 0131"$"ms. c. 131"$"ms. c 131"$"Ms.c.131"$"Ms. c. 131"
