"11"$"Cod. 11"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/154926/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/154929"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"12"$"Cod. 12"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/213994/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/214026"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"13"$"Cod. 13"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/155095/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/155099"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"14"$"Cod. 14"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/156139/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/156145"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"15"$"Cod. 15"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/156584/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/156588"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"16"$"Cod. 16"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/214424/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/214428"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"17"$"Cod. 17"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/156797/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/156802"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"18"$"Cod. 19"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/214617/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/214622"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"19"$"Cod. 20"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/157016/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/157019"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
"20"$"Cod. 21"$"https://digital.dombibliothek-koeln.de/hs/i3f/v20/157263/manifest"$""$"https://digital.dombibliothek-koeln.de/ddbkha/download/webcache/128/157266"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2004"$"2004"$"Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek St. Albertus Magnus"$"https://d-nb.info/gnd/1068100672"$"Köln"$"https://d-nb.info/gnd/4031483-2"$"Universität zu Köln"$"http://d-nb.info/gnd/2024231-1"$"Köln"$"http://d-nb.info/gnd/4031483-2"
