"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 33/I.6p"$"Best.: Alte Kästen Nr.: K 33 I 6p"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 61/II.4"$"Best.: Alte Kästen Nr.: K 61 II 4"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 64/II.5"$"Best.: Alte Kästen Nr.: K 64 II 5"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 64/II.6"$"Best.: Alte Kästen Nr.: K 64 II 6"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 88/I"$"Best.: Alte Kästen Nr.: K 88 I"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Alte Kästen Nr.: K 101/I.1"$"Best.: Alte Kästen Nr.: K 101 I 1"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Amtsbücher Nr.: 3/31"$"Best.: Amtsbücher Nr.: 3 31"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Amtsbücher Nr.: 3/51"$"Best.: Amtsbücher Nr.: 3 51"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Amtsbücher Nr.: 3/53"$"Best.: Amtsbücher Nr.: 3 53"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Best.: Amtsbücher Nr.: 3/60"$"Best.: Amtsbücher Nr.: 3 60"
"Mainz"$"4037124-4"$"Dom- und Diözesanarchiv Mainz"$"7595711-5"$"Nachlass Schunk Kasten I Nr. 8"
