"1"$"H 1"$"https://iiif.ub.uni-leipzig.de/0000056629/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-581559"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056629/00000003.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"2"$"H 2"$"https://iiif.ub.uni-leipzig.de/0000056558/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585149"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0565/0000056558/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"3"$"H 3"$"https://iiif.ub.uni-leipzig.de/0000056616/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585360"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056616/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"4"$"H 4"$"https://iiif.ub.uni-leipzig.de/0000056598/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585158"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0565/0000056598/00000003.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"5"$"H 5"$"https://iiif.ub.uni-leipzig.de/0000056644/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586126"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056644/00000005.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"6"$"H 6"$"https://iiif.ub.uni-leipzig.de/0000056703/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586283"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056703/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"17"$"Urk. 1194, Fragment 11"$"https://iiif.ub.uni-leipzig.de/0000056657/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586555"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056657/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"18"$"Urk. 1194, Fragment 12"$"https://iiif.ub.uni-leipzig.de/0000056658/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586569"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056658/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"19"$"Urk. 1194, Fragment 13"$"https://iiif.ub.uni-leipzig.de/0000056660/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586641"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056660/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"20"$"Urk. 1194, Fragment 14"$"https://iiif.ub.uni-leipzig.de/0000056749/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587210"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056749/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"21"$"Urk. 1194, Fragment 15"$"https://iiif.ub.uni-leipzig.de/0000056750/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587225"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056750/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"22"$"Urk. 1194, Fragment 16"$"https://iiif.ub.uni-leipzig.de/0000056712/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586868"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056712/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"23"$"Urk. 1194, Fragment 17"$"https://iiif.ub.uni-leipzig.de/0000056709/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586876"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056709/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"24"$"Urk. 1194, Fragment 18"$"https://iiif.ub.uni-leipzig.de/0000056710/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586883"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056710/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"25"$"Urk. 1194, Fragment 19"$"https://iiif.ub.uni-leipzig.de/0000056713/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586898"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056713/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"26"$"Urk. 1194, Fragment 20"$"https://iiif.ub.uni-leipzig.de/0000056714/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586903"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056714/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"27"$"Urk. 1194, Fragment 21"$"https://iiif.ub.uni-leipzig.de/0000056715/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586921"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056715/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"28"$"Urk. 1194, Fragment 22"$"https://iiif.ub.uni-leipzig.de/0000056716/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586935"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056716/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"29"$"Urk. 1194, Fragment 23"$"https://iiif.ub.uni-leipzig.de/0000056751/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587232"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056751/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"30"$"Urk. 1194, Fragment 24"$"https://iiif.ub.uni-leipzig.de/0000056740/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587183"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056740/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"31"$"Urk. 1194, Fragment 25"$"https://iiif.ub.uni-leipzig.de/0000056741/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587193"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056741/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"32"$"Urk. 1194, Fragment 27"$"https://iiif.ub.uni-leipzig.de/0000056792/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587575"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056792/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"33"$"Urk. 1194, Fragment 28"$"https://iiif.ub.uni-leipzig.de/0000056793/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587583"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056793/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"34"$"Urk. 1194, Fragment 26"$"https://iiif.ub.uni-leipzig.de/0000056746/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587206"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056746/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
