"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 1"$"Hildesheim Andr. 1"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 2"$"Hildesheim Andr. 2"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 3"$"Hildesheim Andr. 3"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 4"$"Hildesheim Andr. 4"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 5"$"Hildesheim Andr. 5"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 6"$"Hildesheim Andr. 6"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 7"$"Hildesheim Andr. 7"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 8"$"Hildesheim Andr. 8"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 9"$"Hildesheim Andr. 9"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 10"$"Hildesheim Andr. 10"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 11"$"Hildesheim Andr. 11"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 12"$"Hildesheim Andr. 12"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 13"$"Hildesheim Andr. 13"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 14"$"Hildesheim Andr. 14"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 3519"$"Hildesheim Andr. 3519"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB 5202"$"5202"$"III E 1a, I"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB I B 38"$"I B 38"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB I B 50"$"I B 50"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB I B 55"$"I B 55"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB III E 5"$"III E 5"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"WB VIII Ad 111"$"VIII Ad 111"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 191a"$"HM 191a"$"Best. 52 Nr. 191 a"$"HM 191 a"
