"12"$"12.B.VII."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700648969/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151296"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700648969/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"13"$"13.B.VIII."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700723235/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151280"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700723235/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"14"$"15.B.X."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700562886/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5212593"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700562886/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"15"$"16.B.XI."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1724929046/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5152005"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1724929046/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"16"$"17.B.XII."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726602354/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5152255"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726602354/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"17"$"18.C.I."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726965686/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5156296"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726965686/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"18"$"19.C.II."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172462718X/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151949"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172462718X/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"19"$"20.C.III."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172519354X/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5152014"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172519354X/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"20"$"21.C.IV."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726731650/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5152272"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726731650/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"21"$"23.C.VI."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1795091770/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5211022"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1795091770/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"22"$"24.E.8."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726965546/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5155488"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726965546/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
