"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 29"$"Hs. Georg. 29. 8°"$"180. 8°"$"Georg. 29"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 30"$"Hs. Georg. 30. 8°"$"Georg. 30"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 31"$"Hs. Georg. 31. 8°"$"Cod. Georg. 12°, 8"$"Georg. 31"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 43"$"Hs. Georg. 43. 4°"$"13. 2°"$"Georg. 43"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 44"$"Hs. Georg. 44. 8°"$"Georg. 44"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 56"$"Hs. Georg. 56. 8°"$"221. 12°"$"Georg. 56"$"Georg Hs. 56"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 61"$"Hs. Georg. 61. 8°"$"203. 8°"$"Georg. 61"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 62"$"Hs. Georg. 62. 8°"$"Georg. 62"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 63"$"Hs. Georg. 63. 8°"$"Georg. 63"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 64"$"Georg. 64"$"Hs. Georg. 64. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 65"$"Georg. 65"$"Hs. Georg. 65. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 66"$"Hs. Georg. 66. 8°"$"Cod. Georg. 12°, 19"$"Georg. 66"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 67"$"Georg. 67"$"Hs. Georg. 67. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 68"$"Georg. 68"$"Hs. Georg. 68. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 69"$"Georg. 69"$"Hs. Georg. 69. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 70"$"Georg. 70"$"Hs. Georg. 70. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 71/II"$"Georg. 71"$"Hs. Georg. 71. 8°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 72"$"Hs. Georg. 72. 8°"$"Cod. Georg. 12°, 14"$"Georg. 72"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 73"$"Hs. Georg. 73. 8°"$"Cod. Georg. 12°. 9"$"Georg. 73"
