"Datei"$"Ort"$"Institution"$"Anzahl KODs"
"01_Aachen_Stadtbibliothek.csv"$"Aachen"$"Stadtbibliothek"$"165"
"01_Amberg_Staatsarchiv.csv"$"Amberg"$"Staatsarchiv"$"10"
"01_Angermuende_Heimatmuseum.csv"$"Angermuende"$"Heimatmuseum"$"5"
"01_Annaberg-Buchholz_Kirchenbibliothek.csv"$"Annaberg-Buchholz"$"Kirchenbibliothek"$"161"
"01_Ansbach_SchlossB.csv"$"Ansbach"$"SchlossB"$"176"
"01_Ansbach_SchlossB_ERG_01.csv"$"Ansbach"$"SchlossB"$"17"
"01_Aschaffenburg_Hofbibliothek.csv"$"Aschaffenburg"$"Hofbibliothek"$"60"
"01_Aschaffenburg_Pfarrei_Sankt_Peter_und_Alexander.csv"$"Aschaffenburg"$"Pfarrei"$"4"
"01_Aschaffenburg_Stiftsbibliothek.csv"$"Aschaffenburg"$"Stiftsbibliothek"$"108"
"01_Augsburg_SStB.csv"$"Augsburg"$"SStB"$"1615"
"01_Augsburg_SStB_ERG_01.csv"$"Augsburg"$"SStB"$"27"
"01_Augsburg_Staatsarchiv.csv"$"Augsburg"$"Staatsarchiv"$"5"
"01_Augsburg_Stadtarchiv.csv"$"Augsburg"$"Stadtarchiv"$"4"
"01_Augsburg_UB.csv"$"Augsburg"$"UB"$"703"
"01_Aurich_Niedersaechsisches_Landesarchiv.csv"$"Aurich"$"Niedersaechsisches"$"11"
"01_Baden-Baden_Abtei_Lichtenthal.csv"$"Baden-Baden"$"Abtei"$"33"
"01_Bad_Homburg_Stadtarchiv.csv"$"Bad"$"Homburg"$"1"
"01_Bamberg_Staatsbibliothek.csv"$"Bamberg"$"Staatsbibliothek"$"2247"
"01_Bamberg_Staatsbibliothek_ERG_01.csv"$"Bamberg"$"Staatsbibliothek"$"12"
"01_Bamberg_Stadtarchiv.csv"$"Bamberg"$"Stadtarchiv"$"10"
"01_Barth_Kirchenbibliothek_St_Marien.csv"$"Barth"$"Kirchenbibliothek"$"9"
"01_Bautzen_Domstiftsbibliothek.csv"$"Bautzen"$"Domstiftsbibliothek"$"333"
"01_Bautzen_Stadtbibliothek.csv"$"Bautzen"$"Stadtbibliothek"$"18"
"01_Berkeley_Bancroft_Library.csv"$"Berkeley"$"Bancroft"$"1"
"01_Berlin_Archiv_der_evangelischen_Kirche_Berlin_Brandenburg.csv"$"Berlin"$"Archiv"$"9"
"01_Berlin_Deutsches_Historisches_Museum.csv"$"Berlin"$"Deutsches"$"9"
"01_Berlin_Deutsches_Historisches_Museum_ERG_01.csv"$"Berlin"$"Deutsches"$"1"
"01_Berlin_Kunstgewerbemuseum.csv"$"Berlin"$"Kunstgewerbemuseum"$"1"
"01_Berlin_Kupferstichkabinett.csv"$"Berlin"$"Kupferstichkabinett"$"66"
"01_Berlin_SBB_AlbaAmic_bis_LibrImprCNMss.csv"$"Berlin"$"SBB"$"4355"
"01_Berlin_SBB_ERG_04.csv"$"Berlin"$"SBB"$"3"
"01_Berlin_SBB_ERG_05.csv"$"Berlin"$"SBB"$"4"
"01_Berlin_SBB_LibrPict_bis_MssGenealogica.csv"$"Berlin"$"SBB"$"5049"
"01_Berlin_SBB_MssGerm.csv"$"Berlin"$"SBB"$"6328"
"01_Berlin_SBB_MssGraec_bis_MssLat.csv"$"Berlin"$"SBB"$"3193"
"01_Berlin_SBB_MssLusit_bis_Urkunden.csv"$"Berlin"$"SBB"$"3241"
"01_Biberach_Stadtarchiv.csv"$"Biberach"$"Stadtarchiv"$"29"
"01_Bonn_Universitaets_und_Landesbibliothek.csv"$"Bonn"$"Universitaets"$"316"
"01_Brandenburg_Havel_Domstiftsarchiv_und_bibliothek.csv"$"Brandenburg"$"Havel"$"5"
"01_Brandenburg_Havel_Domstiftsarchiv_und_bibliothek_ERG_01.csv"$"Brandenburg"$"Havel"$"1"
"01_Braunschweig_Stadtarchiv.csv"$"Braunschweig"$"Stadtarchiv"$"4"
"01_Braunschweig_Stadtbibliothek.csv"$"Braunschweig"$"Stadtbibliothek"$"196"
"01_Braunschweig_Theologisches_Zentrum.csv"$"Braunschweig"$"Theologisches"$"37"
"01_Bremen_Focke_Museum.csv"$"Bremen"$"Focke"$"1"
"01_Bremen_Landeswetterwarte.csv"$"Bremen"$"Landeswetterwarte"$"1"
"01_Bremen_Staatsarchiv.csv"$"Bremen"$"Staatsarchiv"$"38"
"01_Bremen_Staats_und_Universitaetsbibliothek.csv"$"Bremen"$"Staats"$"1026"
"01_Bremen_Uebersee-Museum.csv"$"Bremen"$"Uebersee-Museum"$"1"
"01_Budapest_Akademiebibliothek.csv"$"Budapest"$"Akademiebibliothek"$"31"
"01_Budapest_Bibliothek_Medizingeschichte.csv"$"Budapest"$"Bibliothek"$"3"
"01_Budapest_Nationalbibliothek.csv"$"Budapest"$"Nationalbibliothek"$"87"
"01_Budapest_Nationalmuseum.csv"$"Budapest"$"Nationalmuseum"$"1"
"01_Budapest_UB.csv"$"Budapest"$"UB"$"6"
"01_Budapest_Zentralbibliothek_Piaristen.csv"$"Budapest"$"Zentralbibliothek"$"1"
"01_Cambridge_Mass_Harvard_University_Library.csv"$"Cambridge"$"Mass"$"1"
"01_Celle_Bibliothek_Oberlandesgericht.csv"$"Celle"$"Bibliothek"$"5"
"01_Celle_Bibliothek_Oberlandesgericht_ERG_01.csv"$"Celle"$"Bibliothek"$"186"
"01_Celle_Kirchen-Ministerial-Bibliothek.csv"$"Celle"$"Kirchen-Ministerial-Bibliothek"$"1"
"01_Coburg_LB.csv"$"Coburg"$"LB"$"409"
"01_Cologny_Bib_Bodmeriana.csv"$"Cologny"$"Bib"$"6"
"01_Darmstadt_Universitaets_und_Landesbibliothek.csv"$"Darmstadt"$"Universitaets"$"1129"
"01_Debrecen_Grossbibliothek.csv"$"Debrecen"$"Grossbibliothek"$"5"
"01_Dessau_Anhaltische_Landesbuecherei.csv"$"Dessau"$"Anhaltische"$"135"
"01_Dessau_Anhaltische_Landesbuecherei_ERG_01.csv"$"Dessau"$"Anhaltische"$"9"
"01_Dessau_Landesarchiv_Sachsen-Anhalt.csv"$"Dessau"$"Landesarchiv"$"8"
"01_Dillingen_StudB.csv"$"Dillingen"$"StudB"$"129"
"01_Dillingen_StudB_ERG_01.csv"$"Dillingen"$"StudB"$"18"
"01_Dresden_Hauptstaatsarchiv.csv"$"Dresden"$"Hauptstaatsarchiv"$"3"
"01_Dresden_Saechsische_Landes_und_Universitaetsbibliothek.csv"$"Dresden"$"Saechsische"$"9374"
"01_Duesseldorf_Universitaets_und_Landesbibliothek.csv"$"Duesseldorf"$"Universitaets"$"425"
"01_Duesseldorf_Universitaets_und_Landesbibliothek_ERG_01.csv"$"Duesseldorf"$"Universitaets"$"680"
"01_Duesseldorf_Universitaets_und_Landesbibliothek_ERG_02.csv"$"Duesseldorf"$"Universitaets"$"19"
"01_Ebstorf_Klosterarchiv.csv"$"Ebstorf"$"Klosterarchiv"$"70"
"01_Eger_Erzdioezesanbibliothek.csv"$"Eger"$"Erzdioezesanbibliothek"$"10"
"01_Eichstaett_Dioezesanarchiv.csv"$"Eichstaett"$"Dioezesanarchiv"$"2"
"01_Eichstaett_UB.csv"$"Eichstaett"$"UB"$"2228"
"01_Eisenach_Wartburgstiftung.csv"$"Eisenach"$"Wartburgstiftung"$"3"
"01_Eisleben_Turmbibliothek_Andreaskirche.csv"$"Eisleben"$"Turmbibliothek"$"14"
"01_Emden_Johannes_a_Lasco_Bibliothek.csv"$"Emden"$"Johannes"$"15"
"01_Erfurt_Evangelisches_Ministerium.csv"$"Erfurt"$"Evangelisches"$"18"
"01_Erfurt_Evangelisches_Ministerium_ERG_01.csv"$"Erfurt"$"Evangelisches"$"1"
"01_Erfurt_Predigergemeinde.csv"$"Erfurt"$"Predigergemeinde"$"5"
"01_Erfurt_UB.csv"$"Erfurt"$"UB"$"981"
"01_Erlangen_UB.csv"$"Erlangen"$"UB"$"2058"
"01_Erlangen_UB_ERG_01.csv"$"Erlangen"$"UB"$"13"
"01_Esztergom_Kathedralbibliothek.csv"$"Esztergom"$"Kathedralbibliothek"$"2"
"01_Frankfurt_Main_UB.csv"$"Frankfurt"$"Main"$"1950"
"01_Freiberg_Andreas-Moeller-Bibliothek.csv"$"Freiberg"$"Andreas-Moeller-Bibliothek"$"47"
"01_Freiburg_Adelhausenstiftung.csv"$"Freiburg"$"Adelhausenstiftung"$"17"
"01_Freiburg_Augustinermuseum.csv"$"Freiburg"$"Augustinermuseum"$"26"
