"12"$"Cod.gall. 13"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00137862/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00137862-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00137862_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2021"$"2022"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"13"$"Cod.gall. 14"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00110904/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00110904-8"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00110904_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2017"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"14"$"Cod.gall. 15"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00017531/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00017531-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00017531_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2007"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"15"$"Cod.gall. 155"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107199/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107199-5"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107199_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"16"$"Cod.gall. 16"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00056556/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00056556-3"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00056556_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2011"$""$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"17"$"Cod.gall. 17"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00049258/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00049258-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00049258_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2010"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"18"$"Cod.gall. 18"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00069127/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00069127-0"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00069127_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2012"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"19"$"Cod.gall. 19"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00070503/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00070503-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00070503_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2012"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"20"$"Cod.gall. 2"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00137860/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00137860-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00137860_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2021"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"21"$"Cod.gall. 20"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00110905/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00110905-4"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00110905_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2017"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
