"12"$"Cbm Cat. 110"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092090/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092090-9"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092090_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"13"$"Cbm Cat. 113"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00042716/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00042716-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00042716_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2009"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"14"$"Cbm Cat. 114"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092091/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092091-5"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092091_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"15"$"Cbm Cat. 115"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107980/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107980-9"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107980_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"16"$"Cbm Cat. 117 a"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092092/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092092-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092092_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"17"$"Cbm Cat. 120 f(4"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092093/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092093-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092093_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"18"$"Cbm Cat. 121 a-c"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107982/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107982-0"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107982_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"19"$"Cbm Cat. 121 d-r"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107981/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107981-5"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107981_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"20"$"Cbm Cat. 121 s-t"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107983/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107983-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107983_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"21"$"Cbm Cat. 121 u"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107732/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107732-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107732_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
