"1"$"Becker-Sammlung, II 1 2° 1"$"https://iiif.ub.uni-leipzig.de/0000055470/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0027-573295"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0554/0000055470/00000005.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"08.04.2024"$"Leipziger Städtische Bibliotheken, Stadtbibliothek"$"https://d-nb.info/gnd/10094537-5"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"2"$"Becker-Sammlung, II 1 4° 1 "$"https://iiif.ub.uni-leipzig.de/0000056184/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-577379"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0561/0000056184/00000007.jpx/full/,200/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"08.07.2024"$"Leipziger Städtische Bibliotheken, Stadtbibliothek"$"https://d-nb.info/gnd/10094537-5"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"3"$"Becker-Sammlung, II 1 8° 1"$"https://iiif.ub.uni-leipzig.de/0000055907/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-578064"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0559/0000055907/00000005.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"29.07.2024"$"Leipziger Städtische Bibliotheken, Stadtbibliothek"$"https://d-nb.info/gnd/10094537-5"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"4"$"Musikbibliothek Peters, PM 5693"$"https://iiif.ub.uni-leipzig.de/0000056135/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-578090"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0561/0000056135/00000003.jpx/full/,200/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"31.07.2024"$"Leipziger Städtische Bibliotheken, Stadtbibliothek"$"https://d-nb.info/gnd/10094537-5"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
