"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 347"$"Fonds 68. Nr. 347"$"Fond 68, Nr. 347"$"Фонд 68, № 347"$"Фонд 68, ед. хр. 347"$"Фонд 68, N 347"$"Ф. 68, № 347"$"F. 68, № 347"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 722, Nr. 610"$"Fonds 722. Nr. 610"$"Fond 722, Nr. 610"$"Фонд 722, № 610"$"Фонд 722, ед. хр. 610"$"Фонд 722, N 610"$"Ф. 722, № 610"$"F. 722, № 610"
