"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 109"$"8o Philol. 109"$"8° Philol. 109"$"8º Philol. 109"$"Philol. 109"$"8° Cod. Ms. philol. 109"$"Cod. Ms. philol. 109"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 114"$"8o Philol. 114"$"8° Philol. 114"$"8º Philol. 114"$"Philol. 114"$"8° Cod. Ms. philol. 114"$"Cod. Ms. philol. 114"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 115"$"8o Philol. 115"$"8° Philol. 115"$"8º Philol. 115"$"Philol. 115"$"8° Cod. Ms. philol. 115"$"Cod. Ms. philol. 115"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 121"$"8o Philol. 121"$"8° Philol. 121"$"8º Philol. 121"$"Philol. 121"$"8° Cod. Ms. philol. 121"$"Cod. Ms. philol. 121"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 123"$"8o Philol. 123"$"8° Philol. 123"$"8º Philol. 123"$"Philol. 123"$"8° Cod. Ms. philol. 123"$"Cod. Ms. philol. 123"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 124"$"8o Philol. 124"$"8° Philol. 124"$"8º Philol. 124"$"Philol. 124"$"8° Cod. Ms. philol. 124"$"Cod. Ms. philol. 124"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 130"$"8o Philol. 130"$"8° Philol. 130"$"8º Philol. 130"$"Philol. 130"$"8° Cod. Ms. philol. 130"$"Cod. Ms. philol. 130"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 142"$"8o Philol. 142"$"8° Philol. 142"$"8º Philol. 142"$"Philol. 142"$"8° Cod. Ms. philol. 142"$"Cod. Ms. philol. 142"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 164"$"8o Philol. 164"$"8° Philol. 164"$"8º Philol. 164"$"Philol. 164"$"8° Cod. Ms. philol. 164"$"Cod. Ms. philol. 164"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 225"$"8o Philol. 225"$"8° Philol. 225"$"8º Philol. 225"$"Philol. 225"$"8° Cod. Ms. philol. 225"$"Cod. Ms. philol. 225"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philos. 27 l"$"8 Cod. Ms. philos. 27l"$"8o Philos. 27l"$"8° Philos. 27l"$"8º Philos. 27l"$"Philos. 27l"$"8 Philos. 27 l"$"8 Philos. 27l"$"8° Cod. Ms. philos. 27l"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philos. 3"$"8o Philos. 3"$"8° Philos. 3"$"8º Philos. 3"$"Philos. 3"$"8° Cod. Ms. philos. 3"$"Cod. Ms. philos. 3"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philos. 42"$"8o Philos. 42"$"8° Philos. 42"$"8º Philos. 42"$"Philos. 42"$"8° Cod. Ms. philos. 42"$"Cod. Ms. philos. 42"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philos. 59"$"8o Philos. 59"$"8° Philos. 59"$"8º Philos. 59"$"Philos. 59"$"8° Cod. Ms. philos. 59"$"Cod. Ms. philos. 59"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philos. 8"$"8o Philos. 8"$"8° Philos. 8"$"8º Philos. 8"$"Philos. 8"$"8° Cod. Ms. philos. 8"$"Cod. Ms. philos. 8"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. theol. 100"$"8o Theol. 100"$"8° Theol. 100"$"8º Theol. 100"$"Theol. 100"$"8° Cod. Ms. theol. 100"$"Cod. Ms. theol. 100"
