"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 231"$"I, 231"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 232"$"I, 232"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 233"$"I, 233"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 234"$"I, 234"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 235"$"I, 235"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 236"$"I, 236"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 237"$"I, 237"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 238"$"I, 238"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 239"$"I, 239"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 240"$"I, 240"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 241"$"I, 241"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 242"$"I, 242"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 243"$"I, 243"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 244"$"I, 244"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 1"$"I, 245 - 1"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 2"$"I, 245 - 2"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 3"$"I, 245 - 3"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 4"$"I, 245 - 4"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 5"$"I, 245 - 5"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 6"$"I, 245 - 6"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 7"$"I, 245 - 7"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 245 - 8"$"I, 245 - 8"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 246"$"I, 246"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 247"$"I, 247"
"Leipzig"$"4035206-7"$"Deutsche Nationalbibliothek Leipzig, Deutsches Buch- und Schriftmuseum"$"2008945-4"$"Klemm-Sammlung, I, 248"$"I, 248"
