"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 11 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 11"$"Cod.mag.11"$"Cod mag 11"$"Codmag11"$"cod. mag. 11"$"cod.mag.11"$"cod mag 11"$"codmag11"$"Cod. Mag. 11"$"Cod.Mag.11"$"Cod Mag 11"$"CodMag11"$"cod. Mag. 11"$"cod.Mag.11"$"cod Mag 11"$"codMag11"$"C. M. 11"$"C.M.11"$"C M 11"$"CM11"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 12 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 12"$"Cod.mag.12"$"Cod mag 12"$"Codmag12"$"cod. mag. 12"$"cod.mag.12"$"cod mag 12"$"codmag12"$"Cod. Mag. 12"$"Cod.Mag.12"$"Cod Mag 12"$"CodMag12"$"cod. Mag. 12"$"cod.Mag.12"$"cod Mag 12"$"codMag12"$"C. M. 12"$"C.M.12"$"C M 12"$"CM12"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 13 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 13"$"Cod.mag.13"$"Cod mag 13"$"Codmag13"$"cod. mag. 13"$"cod.mag.13"$"cod mag 13"$"codmag13"$"Cod. Mag. 13"$"Cod.Mag.13"$"Cod Mag 13"$"CodMag13"$"cod. Mag. 13"$"cod.Mag.13"$"cod Mag 13"$"codMag13"$"C. M. 13"$"C.M.13"$"C M 13"$"CM13"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 14 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 14"$"Cod.mag.14"$"Cod mag 14"$"Codmag14"$"cod. mag. 14"$"cod.mag.14"$"cod mag 14"$"codmag14"$"Cod. Mag. 14"$"Cod.Mag.14"$"Cod Mag 14"$"CodMag14"$"cod. Mag. 14"$"cod.Mag.14"$"cod Mag 14"$"codMag14"$"C. M. 14"$"C.M.14"$"C M 14"$"CM14"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 15 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 15"$"Cod.mag.15"$"Cod mag 15"$"Codmag15"$"cod. mag. 15"$"cod.mag.15"$"cod mag 15"$"codmag15"$"Cod. Mag. 15"$"Cod.Mag.15"$"Cod Mag 15"$"CodMag15"$"cod. Mag. 15"$"cod.Mag.15"$"cod Mag 15"$"codMag15"$"C. M. 15"$"C.M.15"$"C M 15"$"CM15"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 16 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 16"$"Cod.mag.16"$"Cod mag 16"$"Codmag16"$"cod. mag. 16"$"cod.mag.16"$"cod mag 16"$"codmag16"$"Cod. Mag. 16"$"Cod.Mag.16"$"Cod Mag 16"$"CodMag16"$"cod. Mag. 16"$"cod.Mag.16"$"cod Mag 16"$"codMag16"$"C. M. 16"$"C.M.16"$"C M 16"$"CM16"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 17 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 17"$"Cod.mag.17"$"Cod mag 17"$"Codmag17"$"cod. mag. 17"$"cod.mag.17"$"cod mag 17"$"codmag17"$"Cod. Mag. 17"$"Cod.Mag.17"$"Cod Mag 17"$"CodMag17"$"cod. Mag. 17"$"cod.Mag.17"$"cod Mag 17"$"codMag17"$"C. M. 17"$"C.M.17"$"C M 17"$"CM17"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 18 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 18"$"Cod.mag.18"$"Cod mag 18"$"Codmag18"$"cod. mag. 18"$"cod.mag.18"$"cod mag 18"$"codmag18"$"Cod. Mag. 18"$"Cod.Mag.18"$"Cod Mag 18"$"CodMag18"$"cod. Mag. 18"$"cod.Mag.18"$"cod Mag 18"$"codMag18"$"C. M. 18"$"C.M.18"$"C M 18"$"CM18"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 19 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 19"$"Cod.mag.19"$"Cod mag 19"$"Codmag19"$"cod. mag. 19"$"cod.mag.19"$"cod mag 19"$"codmag19"$"Cod. Mag. 19"$"Cod.Mag.19"$"Cod Mag 19"$"CodMag19"$"cod. Mag. 19"$"cod.Mag.19"$"cod Mag 19"$"codMag19"$"C. M. 19"$"C.M.19"$"C M 19"$"CM19"
"Leipzig"$"4035206-7"$"Universitätsbibliothek Leipzig"$"30026-3"$"Cod. mag. 20 (Leihgabe Leipziger Stadtbibliothek)"$"Cod. mag. 20"$"Cod.mag.20"$"Cod mag 20"$"Codmag20"$"cod. mag. 20"$"cod.mag.20"$"cod mag 20"$"codmag20"$"Cod. Mag. 20"$"Cod.Mag.20"$"Cod Mag 20"$"CodMag20"$"cod. Mag. 20"$"cod.Mag.20"$"cod Mag 20"$"codMag20"$"C. M. 20"$"C.M.20"$"C M 20"$"CM20"
