"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1009,II"$"Ms germ fol 1009,II"$"Ms.germ.fol.1009,II"$"Ms. Germ. Fol. 1009,II"$"Ms. Germ. fol. 1009,II"$"Ms. Germ. 2° 1009,II"$"Germ. fol. 1009,II"$"Ms. germ. fol. 1009, II"$"Ms. germ. 2° 1009,II"$"Mgf 1009,II"$"mgf 1009,II"$"Ms. germ. 2º 1009,II"$"Cod. germ. 2º 1009,II"$"Cod. germ. fol. 1009,II"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 101"$"Ms germ fol 101"$"Ms.germ.fol.101"$"Ms. Germ. Fol. 101"$"Ms. Germ. fol. 101"$"Ms. Germ. 2° 101"$"Germ. fol. 101"$"Ms. germ. 2° 101"$"Mgf 101"$"mgf 101"$"Ms. germ. 2º 101"$"Cod. germ. 2º 101"$"Cod. germ. fol. 101"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1010"$"Ms germ fol 1010"$"Ms.germ.fol.1010"$"Ms. Germ. Fol. 1010"$"Ms. Germ. fol. 1010"$"Ms. Germ. 2° 1010"$"Germ. fol. 1010"$"Ms. germ. 2° 1010"$"Mgf 1010"$"mgf 1010"$"Ms. germ. 2º 1010"$"Cod. germ. 2º 1010"$"Cod. germ. fol. 1010"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1011"$"Ms germ fol 1011"$"Ms.germ.fol.1011"$"Ms. Germ. Fol. 1011"$"Ms. Germ. fol. 1011"$"Ms. Germ. 2° 1011"$"Germ. fol. 1011"$"Ms. germ. 2° 1011"$"Mgf 1011"$"mgf 1011"$"Ms. germ. 2º 1011"$"Cod. germ. 2º 1011"$"Cod. germ. fol. 1011"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1012"$"Ms germ fol 1012"$"Ms.germ.fol.1012"$"Ms. Germ. Fol. 1012"$"Ms. Germ. fol. 1012"$"Ms. Germ. 2° 1012"$"Germ. fol. 1012"$"Ms. germ. 2° 1012"$"Mgf 1012"$"mgf 1012"$"Ms. germ. 2º 1012"$"Cod. germ. 2º 1012"$"Cod. germ. fol. 1012"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1013"$"Ms germ fol 1013"$"Ms.germ.fol.1013"$"Ms. Germ. Fol. 1013"$"Ms. Germ. fol. 1013"$"Ms. Germ. 2° 1013"$"Germ. fol. 1013"$"Ms. germ. 2° 1013"$"Mgf 1013"$"mgf 1013"$"Ms. germ. 2º 1013"$"Cod. germ. 2º 1013"$"Cod. germ. fol. 1013"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1014"$"Ms germ fol 1014"$"Ms.germ.fol.1014"$"Ms. Germ. Fol. 1014"$"Ms. Germ. fol. 1014"$"Ms. Germ. 2° 1014"$"Germ. fol. 1014"$"Ms. germ. 2° 1014"$"Mgf 1014"$"mgf 1014"$"Ms. germ. 2º 1014"$"Cod. germ. 2º 1014"$"Cod. germ. fol. 1014"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1015"$"Ms germ fol 1015"$"Ms.germ.fol.1015"$"Ms. Germ. Fol. 1015"$"Ms. Germ. fol. 1015"$"Ms. Germ. 2° 1015"$"Germ. fol. 1015"$"Ms. germ. 2° 1015"$"Mgf 1015"$"mgf 1015"$"Ms. germ. 2º 1015"$"Cod. germ. 2º 1015"$"Cod. germ. fol. 1015"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1016"$"Ms germ fol 1016"$"Ms.germ.fol.1016"$"Ms. Germ. Fol. 1016"$"Ms. Germ. fol. 1016"$"Ms. Germ. 2° 1016"$"Germ. fol. 1016"$"Ms. germ. 2° 1016"$"Mgf 1016"$"mgf 1016"$"Ms. germ. 2º 1016"$"Cod. germ. 2º 1016"$"Cod. germ. fol. 1016"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1017"$"Ms germ fol 1017"$"Ms.germ.fol.1017"$"Ms. Germ. Fol. 1017"$"Ms. Germ. fol. 1017"$"Ms. Germ. 2° 1017"$"Germ. fol. 1017"$"Ms. germ. 2° 1017"$"Mgf 1017"$"mgf 1017"$"Ms. germ. 2º 1017"$"Cod. germ. 2º 1017"$"Cod. germ. fol. 1017"
