"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Hdschr. 193 (2.)"$"Hdschr 193"$"Hdschr.193"$"hdschr. 193"$"hdschr.193"$"hdschr 193"$"Hs 193"$"Hs. 193"$"HDSCHR. 193"$"Hdschr. 193"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Bibliothek Fleischer 23"$"Hdschr. 352"$"Hdschr 352"$"Hdschr.352"$"hdschr. 352"$"hdschr.352"$"hdschr 352"$"Hs 352"$"Hs. 352"$"HDSCHR. 352"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Hs. or. 15073"$"Hdschr. 380"$"Hdschr 380"$"Hdschr.380"$"hdschr. 380"$"hdschr.380"$"hdschr 380"$"Hs 380"$"Hs. 380"$"HDSCHR. 380"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. gall. qu. 193"$"Ms. gall. quart. 193"$"Gall. Qu. 193"$"Ms. gall. 4° 193"$"Ms. gall. 4º 193"$"Ms.gall.qu. 193"$"Ms gall qu 193"$"GALL. QU. 193"
