"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XI"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XII"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIII, II, 4"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIII, II, 5"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIII, II, 6"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIII, III, 1"$"604"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIII, III, 6"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIV"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XIX"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XLVI, II, 22"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XLVIII"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XV"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XVI"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIII"$"D 121"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, IX, 11"$"P 237"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, V, 10"$"138"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, VII, 23"$"P 223"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, X, 26"$"C 129"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, XI, 5"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, XI, 6"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXIV, XII, 18"$"G 32"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXXIII, I, 12"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXXIII, I, 14"$"C 166"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXXV, V, 18"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XXXVI, I, 24"
