"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 3 a 1 VIII Nr. 52 a-c"$"Dep 3a 1 VIII Nr. 52c"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 3 a 1 VIII Nr. 53"$"Dep 3a 1 VIII Nr. 53"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 3 b IV Nr. 6411"$"Dep 3b IV Nr. 6411"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 6 b Nr. 769"$"Dep 6b Nr. 769"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 6 b Nr. 773"$"Dep 6b Nr. 773"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 6 b Nr. 774"$"Dep 6b Nr. 774"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 6 b Nr. 775"$"Dep 6b Nr. 775"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d B XIV"$"Dep 58 Hs B XIV"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C I"$"Dep 58 Hs C I"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C IX"$"Dep 58 Hs C IX"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C V"$"Dep 58 Hs C V"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C VI"$"Dep 58 Hs C VI"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C VII"$"Dep 58 Hs C VII"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C VIII"$"Dep 58 Hs C VIII"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C XIII"$"Dep 58 Hs C XIII"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C XIX"$"Dep 58 Hs C XIX"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C XVII"$"Dep 58 Hs C XVII"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C XXI"$"Dep 58 Hs C XXI"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Dep 58 d C XXV I-III"$"Dep 58 Hs C XXV, I"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Erw A 16 Nr. 129"$"Erw A 16 Nr. 129"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Erw A 16 Nr. 130"$"Erw A 16 Nr. 130"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Erw A 16 Nr. 131"$"Erw A 16 Nr. 131"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 20 I/1 und NLA OS Rep 2 Nr. 20/2"$"Rep 2 Ms 20 I"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 20 II"$"Rep 2 Ms 20 II"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 20 III"$"Rep 2 Ms 20 III"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 20 IV"$"Rep 2 Ms 20 IV"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 1"$"Rep 2 Nr. 1"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 18"$"Rep 2 Nr. 18"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 21"$"Rep 2 Nr. 21"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 22"$"Rep 2 Nr. 22"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 22 a"$"Rep 2 Nr. 22a"
"Osnabrück"$"4043974-4"$"Niedersächsisches Landesarchiv – Abteilung Osnabrück"$"10138432-4"$"NLA OS Rep 2 Nr. 184"$"Rep 2 Nr. 184"
