"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 24"$"he-exub-pgt-frgm-24"$"he_exub_pgt-frgm-24"$"Pgt.-Fragm. 24"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 25"$"he-exub-pgt-frgm-25"$"he_exub_pgt-frgm-25"$"Pgt.-Fragm. 25"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 26"$"he-exub-pgt-frgm-26"$"he_exub_pgt-frgm-26"$"Pgt.-Fragm. 26"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 27"$"he-exub-pgt-frgm-27"$"he_exub_pgt-frgm-27"$"Pgt.-Fragm. 27"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 28"$"he-exub-pgt-frgm-28"$"he_exub_pgt-frgm-28"$"Pgt.-Fragm. 28"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 29"$"he-exub-pgt-frgm-29"$"he_exub_pgt-frgm-29"$"Pgt.-Fragm. 29"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 30"$"he-exub-pgt-frgm-30"$"he_exub_pgt-frgm-30"$"Pgt.-Fragm. 30"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 31"$"he-exub-pgt-frgm-31"$"he_exub_pgt-frgm-31"$"Pgt.-Fragm. 31"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 32"$"he-exub-pgt-frgm-32"$"he_exub_pgt-frgm-32"$"Pgt.-Fragm. 32"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 33"$"he-exub-pgt-frgm-33"$"he_exub_pgt-frgm-33"$"Pgt.-Fragm. 33"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 34"$"he-exub-pgt-frgm-34"$"he_exub_pgt-frgm-34"$"Pgt.-Fragm. 34"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 35"$"he-exub-pgt-frgm-35"$"he_exub_pgt-frgm-35"$"Pgt.-Fragm. 35"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 36"$"he-exub-pgt-frgm-36"$"he_exub_pgt-frgm-36"$"Pgt.-Fragm. 36"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 37"$"he-exub-pgt-frgm-37"$"he_exub_pgt-frgm-38"$"Pgt.-Fragm. 37"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 38"$"he-exub-pgt-frgm-38"$"he_exub_pgt-frgm-38"$"Pgt.-Fragm. 38"
