"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 19"$"Cod. I. 2. fol. 19"$"Cod. I. 2. fol 19"$"Cod. I.2.2° 19"$"I.2.2° 19"$"I.2.2o 19"$"Cod. I.2.2o 19"$"Cod.I.2.2o 19"$"Cod.I.2. fol. 19"$"Cod I.2.2o 19"$"Cod. I.2.2.19"$"Cod.I.2.2.19"$"Cod. I.2. fol. 19"$"I.2.2.19"$"I.2. fol. 19"$"Cod. I.2.2. 19"$"Cod. I.2.2ᵒ 19"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 2"$"Cod. I. 2. fol. 2"$"Cod. I. 2. fol 2"$"Cod. I.2.2° 2"$"I.2.2° 2"$"I.2.2o 2"$"Cod. I.2.2o 2"$"Cod.I.2.2o 2"$"Cod.I.2. fol. 2"$"Cod I.2.2o 2"$"Cod. I.2.2.2"$"Cod.I.2.2.2"$"Cod. I.2. fol. 2"$"I.2.2.2"$"I.2. fol. 2"$"Cod. I.2.2. 2"$"Cod. I.2.2ᵒ 2"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 20"$"Cod. I. 2. fol. 20"$"Cod. I. 2. fol 20"$"Cod. I.2.2° 20"$"I.2.2° 20"$"I.2.2o 20"$"Cod. I.2.2o 20"$"Cod.I.2.2o 20"$"Cod.I.2. fol. 20"$"Cod I.2.2o 20"$"Cod. I.2.2.20"$"Cod.I.2.2.20"$"Cod. I.2. fol. 20"$"I.2.2.20"$"I.2. fol. 20"$"Cod. I.2.2. 20"$"Cod. I.2.2ᵒ 20"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 21"$"Cod. I. 2. fol. 21"$"Cod. I. 2. fol 21"$"Cod. I.2.2° 21"$"I.2.2° 21"$"I.2.2o 21"$"Cod. I.2.2o 21"$"Cod.I.2.2o 21"$"Cod.I.2. fol. 21"$"Cod I.2.2o 21"$"Cod. I.2.2.21"$"Cod.I.2.2.21"$"Cod. I.2. fol. 21"$"I.2.2.21"$"I.2. fol. 21"$"Cod. I.2.2. 21"$"Cod. I.2.2ᵒ 21"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 22"$"Cod. I. 2. fol. 22"$"Cod. I. 2. fol 22"$"Cod. I.2.2° 22"$"I.2.2° 22"$"I.2.2o 22"$"Cod. I.2.2o 22"$"Cod.I.2.2o 22"$"Cod.I.2. fol. 22"$"Cod I.2.2o 22"$"Cod. I.2.2.22"$"Cod.I.2.2.22"$"Cod. I.2. fol. 22"$"I.2.2.22"$"I.2. fol. 22"$"Cod. I.2.2. 22"$"Cod. I.2.2ᵒ 22"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 23"$"Cod. I. 2. fol. 23"$"Cod. I. 2. fol 23"$"Cod. I.2.2° 23"$"I.2.2° 23"$"I.2.2o 23"$"Cod. I.2.2o 23"$"Cod.I.2.2o 23"$"Cod.I.2. fol. 23"$"Cod I.2.2o 23"$"Cod. I.2.2.23"$"Cod.I.2.2.23"$"Cod. I.2. fol. 23"$"I.2.2.23"$"I.2. fol. 23"$"Cod. I.2.2. 23"$"Cod. I.2.2ᵒ 23"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 24"$"Cod. I. 2. fol. 24"$"Cod. I. 2. fol 24"$"Cod. I.2.2° 24"$"I.2.2° 24"$"I.2.2o 24"$"Cod. I.2.2o 24"$"Cod.I.2.2o 24"$"Cod.I.2. fol. 24"$"Cod I.2.2o 24"$"Cod. I.2.2.24"$"Cod.I.2.2.24"$"Cod. I.2. fol. 24"$"I.2.2.24"$"I.2. fol. 24"$"Cod. I.2.2. 24"$"Cod. I.2.2ᵒ 24"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 25"$"Cod. I. 2. fol. 25"$"Cod. I. 2. fol 25"$"Cod. I.2.2° 25"$"I.2.2° 25"$"I.2.2o 25"$"Cod. I.2.2o 25"$"Cod.I.2.2o 25"$"Cod.I.2. fol. 25"$"Cod I.2.2o 25"$"Cod. I.2.2.25"$"Cod.I.2.2.25"$"Cod. I.2. fol. 25"$"I.2.2.25"$"I.2. fol. 25"$"Cod. I.2.2. 25"$"Cod. I.2.2ᵒ 25"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 26"$"Cod. I. 2. fol. 26"$"Cod. I. 2. fol 26"$"Cod. I.2.2° 26"$"I.2.2° 26"$"I.2.2o 26"$"Cod. I.2.2o 26"$"Cod.I.2.2o 26"$"Cod.I.2. fol. 26"$"Cod I.2.2o 26"$"Cod. I.2.2.26"$"Cod.I.2.2.26"$"Cod. I.2. fol. 26"$"I.2.2.26"$"I.2. fol. 26"$"Cod. I.2.2. 26"$"Cod. I.2.2ᵒ 26"
"Augsburg"$"4003614-5"$"Universitätsbibliothek Augsburg"$"38966-3"$"Cod. I.2.2º 27"$"Cod. I. 2. fol. 27"$"Cod. I. 2. fol 27"$"Cod. I.2.2° 27"$"I.2.2° 27"$"I.2.2o 27"$"Cod. I.2.2o 27"$"Cod.I.2.2o 27"$"Cod.I.2. fol. 27"$"Cod I.2.2o 27"$"Cod. I.2.2.27"$"Cod.I.2.2.27"$"Cod. I.2. fol. 27"$"I.2.2.27"$"I.2. fol. 27"$"Cod. I.2.2. 27"$"Cod. I.2.2ᵒ 27"
